id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
54,Plan for Revival of Indian Hotel Industry,"['Muraleedharan, Shri K.']",TOURISM,"Will the Minister of TOURISM be pleased to state: 11 (a) whether the Government has evolved any plan for revival of Indian hotel industry sector that remains collapsed due to the Covid-19 pandemic; (b) if so, the details thereof; and (c) the details of number of star hotels closed due to running loss in the pandemic period?",2021-11-29,UNSTARRED,['Indian National Congress'],['Kerala'],['Vadakara'],['']
55,Reopening of Central Universitities after Covid-19 Pandemic,"['Prathapan, Shri T.N.']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has noticed that many of the Central Universities have not opened yet after Covid-19 crisis and if so, the details thereof; (b) whether the Government has issued any order in this regard to the University authorities and if so, the details thereof; (c) whether the Government has been informed by University authorities about the continuing closure of institutions and if so, the details thereof; (d) whether the Government has proposed to re- open the central institutions for regular functioning; and (e) if so, the details thereof and the time by when exactly the Jawaharlal Nehru University, Jamia Millia Islamia and Delhi University are going to open?",2021-11-29,UNSTARRED,['Indian National Congress'],['Kerala'],['Thrissur'],['']
56,Lay-offs of Employees of MNCs and Private Entities,"['Chellakumar, Dr. A.']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) whether there were random lay-offs of employees of the MNCs and private entities in the country since COVID-19 period; (b) if so, the monthly report and data on the suspension and termination of staff during the COVID- 19 period, i.e. from April 2020 and if so, the details thereof; (c) the action taken by the Government with the agencies to continue their staff and thereby their facilities thereof; and (d) the reaction of the agencies thereto?",2021-11-29,UNSTARRED,['Indian National Congress'],['Tamil Nadu'],['Krishnagiri'],['']
57,National Afforestation Programme,"['Sigriwal, Shri Janardan Singh']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether the Government has implemented National Afforestation Programme in the country and if so, the details along with the aims and objectives thereof; (b) whether the Government has achieved the annual targeted area of afforestation under the said programme during the last three years; (c) if so, the details thereof and if not, the reasons therefor; (d) whether the Government proposes to increase the allocation of funds to the National Afforestation Programme; and (e) if so, the details thereof and the other steps being taken by the Government to increase tree plantation in the country?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Bihar'],['Maharajganj'],['']
58,Tribal University in Telangana,"['Reddy, Shri Uttam Kumar Nalamada']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) whether the Government has started operating a tribal University in Telangana; (b) if not, the reasons for the delay in setting up a tribal university in Telangana; (c) the status of the establishment of a tribal varsity in Telangana and the proposed timeline for the completion of the project; and (d) the details of reservation for tribal persons in the said University amongst students and faculty?",2021-11-29,UNSTARRED,['Indian National Congress'],['Telangana'],['Nalgonda'],['']
59,Enrolment in Schools,"['Mondal, Smt. Pratima']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) the details of school enrolment during the last three years, State-wise in rural and urban areas; and (b) the steps taken by the Government to carry on proper education system in rural areas during the pandemic?",2021-11-29,UNSTARRED,['All India Trinamool Congress'],['West Bengal'],['Jaynagar'],['SC']
60,Financial investment for Reforestation,"['Chudasama, Shri Rajeshbhai Naranbhai']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether the Government is getting any financial investment for reforestation and soil carbon sequestration through the Bio-Carbon Fund which promotes biodiversity conservation and poverty alleviation; 12 (b) if so, the details thereof for the last three years; and (c) the extent to which these funds have been utilized during the last three years?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Gujarat'],['Junagadh'],['']
61,Paperless Working in Education Ministry,"['Panda, Shri Basanta Kumar']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has any plan to make the education and training paperless in schools; and (b) if so, the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Odisha'],['Kalahandi'],['']
62,Jan Shikshan Sansthans,"['Rathore, Col. Rajyavardhan Singh']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) the total number of Jan Shikshan Sansthans (JSS) established in the country alongwith total amount disbursed to them, State wise including Rajasthan; (b) the total number of students enrolled with the JSS, category wise and State-wise, down to district level for Rajasthan, the steps being taken to establish new and increase the areas covered by JSS; (c) whether the Government conducts regular audits to check the functioning of the JSS, if so, the total number of such audits conducted State-wise and down to district level for Rajasthan; (d) the total placement percentage of the JSS, State- wise data down to district level for Rajasthan, total number of private sector collaborations, and steps taken to invite private sector participation in establishing and recruiting students from JSS; and (e) the details of the JSS who have been given IT capacity post the covid-19 pandemic?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Jaipur Rural'],['']
63,KV in Odisha,"['Ulaka, Shri Saptagiri Sankar']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) the status of establishment of Kendriya Vidyalaya at Jeypore in Odisha; (b) the steps taken by the Government to mitigate delays in establishment of KV so as to avoid the same in future; (c) whether the Government proposes to open KVs in aspirational areas including undivided Koraput District in Odisha and if so, the details thereof; and (d) if not, the reasons therefor? .",2021-11-29,UNSTARRED,['Indian National Congress'],['Odisha'],['Koraput'],['ST']
64,North East Rural Livelihood Projectg,"['Khaleque, Shri Abdul']",DEVELOPMENT OF NORTH EASTERN REGION,"Will the Minister of DEVELOPMENT OF NORTH EASTERN REGION be pleased to state: (a) the details of progress made under North East Rural Livelihood Project (NERLP) assisted by World Bank; (b) the number of districts covered under the above- said scheme, State-wise; and (c) the details of schemes currently under implementation in Barpeta, Nalbari and Bongaigaion districts of Assam?",2021-11-29,UNSTARRED,['Indian National Congress'],['Assam'],['Barpeta'],['']
65,Faculty Position in CEIs,"['Venkatesan, Shri S.']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) the number of teaching faculty posts reserved for SC/ST/OBC/EWS and Unreserved lying vacant in each cadre; (b) the details of the reservation rosters for each cadre of teaching posts made by each Central Educational Institutions (CEI) according to the provisions of the Central Educational Institutions (Reservation in Teachers Cadre) Act, 2019; (c) whether any CEI has informed the Government about their inability to prepare the reservation rosters according to the CEI Act, 2019; (d) if so, the details thereof and the measures taken or proposed to be taken by the Government to urgently resolve this issue; and (d) the cadre-wise and categorywise figures of posts identified vacant in each CEI for the purposes of mission mode recruitment?",2021-11-29,UNSTARRED,['Communist Party of India (Marxist)'],['Tamil Nadu'],['Madurai'],['']
66,Development of Meerut under Swadesh Darshan Scheme,"['Agrawal, Shri Rajendra']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) whether the Government has proposed development of Meerut under the Swadesh Darshan Scheme; (b) if so, the details of the work proposed under the scheme along with work completed and those awaiting completion; and (c) the detailed list of developmental work carried out in Meerut under the scheme? 13",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Meerut'],['']
67,Preservation and Protection of Cultural Places of Ernakulam,"['Eden, Shri Hibi']",CULTURE,"Will the Minister of CULTURE be pleased to state: (a) whether the Government intends to preserve and protect the following cultural places Anchalappis oldest post office, Kerala, Synod of Damper (or Udayamperoor Synod) and Melpazhur Mana birthplace of Adi Shankara, Melpazhur Mana,Veliyanadu, District Ernakulam, Kerala (b) if so the, details regarding the same; (c) whether the Government has any records regarding the protection of these sites and if so, the details thereof; and (d) whether the Government is aware of any protection program undertaken at these sites under patronage of any private trusts or State Aarcheology department and if so, the details thereof?",2021-11-29,UNSTARRED,['Indian National Congress'],['Kerala'],['Ernakulam'],['']
68,Introduction of Health System in School Curriculum,"['Vallabbhaneni, Shri Balashowry']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government is planning to introduce alternative/traditional health system in the new school curriculum; (b) if so, the details thereof; (c) whether it is true that a Committee with experts from Ministry of AYUSH has been constituted in the Ministry of Education; and (d) if so, the details of recommendations made by the Committee?",2021-11-29,UNSTARRED,['Yuvajana Sramika Rythu Congress Party'],['Andhra Pradesh'],['Machilipatnam'],['']
69,Funds under NCLP,"['Gavit, Dr. Heena Vijaykumar', 'Mane, Shri Dhairyasheel S.', 'Patil, Shri Unmesh Bhaiyyasaheb', 'Shinde, Dr. Shrikant Eknath', 'Vikhepatil, Dr. Sujay Radhakrishna']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) the funds sanctioned, allocated and utilized under the National Child Labour Project (NCLP), State/ UT wise particularly in Maharashtra during the last three years and the current year; (b) the details of beneficiaries of PENCIL (Platform for Effective Enforcement for No Child Labour) which had been created under the NCLP scheme; (c) the data of web visits on PENCIL (Platform for Effective Enforcement for No Child Labour) which had been created under the NCLP scheme; . (d) the data of adolescent children rescued from hazardous work situations; and (e) whether the Government is able to raise awareness amongst the target communities and the other stakeholders regarding child labour about the functionality of NCLP?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Shiv Sena', 'Bharatiya Janata Party', 'Shiv Sena', 'Bharatiya Janata Party']","['Maharashtra', 'Maharashtra', 'Maharashtra', 'Maharashtra', 'Maharashtra']","['Nandurbar', 'Hatkanangle', 'Jalgaon', 'Kalyan', 'Ahmednagar']","['ST', '', '', '', '']"
70,Ban on Diesel and Petrol Vehicles,"['Kushawaha, Shri Ravindra']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether the Government is planning to ban diesel and petrol vehicles in the cities like Delhi, Gurugram, Noida, Mumbai in view of the increasing pollution in the country; (b) if so, the details thereof; and (c) the scheme being prepared by the Government to check pollution in the country?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Salempur'],['']
71,Problems Faced by Students in Corona,"['Kanumuru, Shri Raghu Ramakrishna Raju', 'Sigriwal, Shri Janardan Singh']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has evaluated problems being faced by the spread of corona virus in the country; (b) whether the Government has noticed the side effects on the mental and physical health of the students due to online classes and if so, the details thereof; (c) whether any survey has been conducted to assess the advantages and disadvantages of online learning/classes during the lockdown period and if so, the details thereof along with the corrective measures taken/being taken by the Government to get the children out of this situation; (d) whether it is a fact that long time usage of mobile classes are reducing the hearing capacity of the children and leading to ENT problems; and (e) if so, the details thereof and the remedial measures being taken for imparting smooth education to the students?",2021-11-29,UNSTARRED,"['Yuvajana Sramika Rythu Congress Party', 'Bharatiya Janata Party']","['Andhra Pradesh', 'Bihar']","['Narsapuram', 'Maharajganj']","['', '']"
72,Training of Insolvency Professionals,"['Patil, Shri Sanjay(Kaka) Ramchandra', 'Chinta Anuradha, Smt.', 'Reddy, Shri Pocha Brahmananda', 'Reddy, Shri Adala Prabhakara', 'Bellana, Shri Chandra Sekhar', 'Beesetti , Dr. Venkata Satyavathi']",CORPORATE AFFAIRS,"Will the Minister of CORPORATE AFFAIRS 14 be pleased to state: (a) whether the Government has initiated a Training of Trainers (ToT) Programme for Insolvency Professionals recently; (b) if so, the details thereof; (c) the details of the total number of Insolvency Professional Agencies functioning in the country at present, State-wise; and (d) the details of the areas in the insolvency law wherein alternate dispute resolution techniques may be utilised for better and swifter outcomes?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party']","['Maharashtra', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh']","['Sangli', 'Amalapuram', 'Nandyal', 'Nellore', 'Vizianagaram', 'Anakapalle']","['', 'SC', '', '', '', '']"
73,Closure of Schools due to CORONA,"['Jothi Mani, Ms. S.', 'Bhatt, Smt. Ranjanben Dhananjay']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has estimated the learning loss due to closure of schools during the COVID-19 pandemic and (b) if so, the details thereof; if not, reasons therefor; (c) whether the Government has estimated the total number of dropouts due to closure of schools during the pandemic and if so, details thereof; (d) if not, the reasons therefor; (e) the steps taken by the Government to address learning loss due to closure of schools during the pandemic; and (f) whether the Government is considering altering the pattern of exams in order to provide a level-playing field to all students and if so, the details thereof?",2021-11-29,UNSTARRED,"['Indian National Congress', 'Bharatiya Janata Party']","['Tamil Nadu', 'Gujarat']","['Karur', 'Vadodara']","['', '']"
74,Use of Diesel Generators by Companies,"['Kamait, Shri Dileshwar']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether the Government has taken cognizance of the non-action of the companies using diesel generators to upgrade the emission control; and (b) the steps taken by the Government to ensure speedy upgradation of the same?",2021-11-29,UNSTARRED,['Janata Dal (United)'],['Bihar'],['Supaul'],['']
75,Eklavya Model Residential School in Dausa,"['Meena, Smt. Jaskaur']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: . (a) the details of the criteria laid down for opening Eklavya Model Residential School; (b) whether the Government is aware that there is still no Eklavya Model Residential School in the district Dausa despite being a Scheduled Tribe dominated area and if so, the reasons therefor; (c) whether the Government plans to open an EMR school in this district and if so, the time by which it is likely to be opened; and (d) if not, the reasons therefor?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Dausa'],['ST']
76,States’ Share in Shareable Pool of Taxes,"['Kateel, Shri Nalin Kumar', 'Suresh, Shri Doddaalahalli Kempegowda']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether it is a fact that the Government proposes for monetary disbursement to States from the shareable pool of taxes; (b) If so, the details thereof; (c) the details of total dues pending for disbursement to various states from the shareable pool of taxes during the last three years, year-wise and state-wise with special reference to Karnataka; and (d) the total amount disbursed by the Union Government to the States including Karnataka?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Indian National Congress']","['Karnataka', 'Karnataka']","['Dakshina Kannada', 'Bangalore Rural']","['', '']"
77,CSR Projects by NGOs,"['Patel, Shri Mitesh Rameshbhai']",CORPORATE AFFAIRS,"Will the Minister of CORPORATE AFFAIRS be pleased to state: (a) the number of Non-Governmental Organisations (NGO) including the organisation functioning in the social sector in the country, which are engaged in the fields of environment, skill development, and sanitization through projects/activities under Corporate Social Responsibility (CSR), State/UT-wise; and (b) the details of the funds sanctioned / allocated/ utilized during the last three year and the current year by the said NGOs Organisations?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Gujarat'],['Anand'],['']
78,National Teachers Award,"['Selvam, Shri Ganesan', 'Kirtikar, Shri Gajanan Chandrakant', 'Annadurai, Shri C.N.', 'Kumar, Shri Dhanush M', 'Pon, Dr. Gautham Sigamani']",EDUCATION,"Will the Minister of EDUCATION 15 be pleased to state: (a) the aims and objective of granting National Teachers Award to teachers; (b) the number of teachers awarded National Teacher Award this year and the financial allocation allotted and utilized during each of the last three years and the current year for the said purpose; (c) whether the Government has any proposal to give out-of-turn promotion to the award winning teachers and if so, the details thereof; and (d) the facility or the incentive being granted to award winning teachers?",2021-11-29,UNSTARRED,"['Dravida Munnetra Kazhagam', 'Shiv Sena', 'Dravida Munnetra Kazhagam', 'Dravida Munnetra Kazhagam', 'Dravida Munnetra Kazhagam']","['Tamil Nadu', 'Maharashtra', 'Tamil Nadu', 'Tamil Nadu', 'Tamil Nadu']","['Kancheepuram', 'Mumbai-North-West', 'Tiruvannamalai', 'Tenkasi', 'Kallakurichi']","['SC', '', '', 'SC', '']"
79,Faceless Assessments and Appeals,"['Sharma, Shri Vishnu Datt']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government is considering to introduce faceless assessments and faceless appeals in the central GST to make adjudication and scrutiny by the tax authorities more transparent; (b) if so, the details thereof; and (c) if not, the reasons therefor?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Khajuraho'],['']
80,Rescuing Bonded Labourers,"['Jawed, Dr. Mohammad']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) the details of progress made towards the target of rescuing 1.84 crore bonded labourers by 2030, including the number of bonded labourers rescued annually from 2016 till date; (b) the details of all initiatives implemented to achieve this goal, including strengthening the prosecution machinery; and (c) the details of progress made towards reaching 100% conviction rate in bonded labour cases, including the conviction rate for such cases from 2014 till date?",2021-11-29,UNSTARRED,['Indian National Congress'],['Bihar'],['Kishanganj'],['']
81,CSR Spent on COVID Crisis,"['T. Sumathy (A) Thamizhachi Thangapandian, Dr.', 'Kathir Anand, Shri Durai Murugan']",CORPORATE AFFAIRS,"Will the Minister of CORPORATE AFFAIRS be pleased to state: (a) the details of aggregate spending by the Public Sector Units and non-Public Sector Units on Corporate Social Responsibility (CSR); (b) whether the Government has received any contribution from PSUs and Non PSUs for the management of Covid crisis since March 2020 (c) if so, the details thereof; and (d) the amount received from Public Limited and Private Limited Companies for Covid care and management and the details of the expenditure incurred thereon during the said period?",2021-11-29,UNSTARRED,"['Dravida Munnetra Kazhagam', 'Dravida Munnetra Kazhagam']","['Tamil Nadu', 'Tamil Nadu']","['Chennai South', 'Vellore']","['', '']"
82,Vaccination of Tribal People of Odisha,"['Sarangi, Smt. Aparajita']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) the number and percentage of tribal people vaccinated in Odisha and percentage left thereof; (b) whether there was vaccine hesitancy or myths about it in the tribal people; if so, the steps taken to remedy the situation; (c) whether vaccine hesitancy has reduced among tribal people in Odisha; if so, details thereof; (d) whether there are schemes devised to periodically arrange vaccination camps for tribal people in Odisha; if so, details thereof; and (e) whether any target is set by the Government for 100% vaccination of tribal people of Odisha; and if so, details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Odisha'],['Bhubaneswar'],['']
83,Eklavya Model Residential Schools in Andhra Pradesh,"['Lavu, Shri Sri Krishna Devarayalu']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) whether it is true that 14 blocks in Andhra Pradesh have been identified where there are more than 50 per cent of Scheduled Tribe (ST) population and 20,000 or more tribals for setting up of Eklavya Model Residential Schools(EMRSs); (b) if so, details of blocks and districts identified; and (c) steps being taken to set up EMRSs in the identified blocks and by when they are going to become functional?",2021-11-29,UNSTARRED,['Yuvajana Sramika Rythu Congress Party'],['Andhra Pradesh'],['Narasaraopet'],['']
84,Reopening of Doors to Foreign Tourists,"['Bapat, Shri Girish Bhalchandra', 'Ahmed, Smt. Sajda', 'Reddy, Shri Kotha Prabhakar', 'Shewale, Shri Rahul Ramesh', 'Sahu, Shri Chandra Sekhar', 'Vanga, Smt. Geetha Viswanath', 'Munde, Dr. Pritam Gopinath Rao']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) whether the Government has decided to reopen its doors to foreign tourists from countries where the Covid-19 situation is under control; (b) if so, the details thereof along with the names of the countries from where the tourists will be allowed; (c) the response received from these countries and the revenue earned so far; (d) whether the Government has formulated specific protocols for the international tourists keeping in mind the possibility of third wave and if so, the details thereof; (e) whether the Government has organized inter- ministerial talks for a calibrated resumption of tourist visas and if so, the details thereof; and (f) the steps taken by the Government to ensure to follow all required health protocols and restore confidence in tourism industry?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'All India Trinamool Congress', 'Telangana Rashtra Samithi', 'Shiv Sena', 'Biju Janata Dal', 'Yuvajana Sramika Rythu Congress Party', 'Bharatiya Janata Party']","['Maharashtra', 'West Bengal', 'Telangana', 'Maharashtra', 'Odisha', 'Andhra Pradesh', 'Maharashtra']","['Pune', 'Uluberia', 'Medak', 'Mumbai South-Central', 'Berhampur', 'Kakinada', 'Beed']","['', '', '', '', '', '', '']"
85,Waiver of GST,"['Chinraj, Shri A.K.P.']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether it is a fact that based on a VIP reference, the waiver of Goods and Services Tax (GST) for drug Zolgensma was approved for a child from Tamil Nadu; (b) if so, the details thereof alongwith the VIP reference on which it was approved; and (c) the date on which and by whom the first VIP reference was received in this regard?",2021-11-29,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Namakkal'],['']
86,Carbon Emission,"['Chandel, Kunwar Pushpendra Singh', 'Bhatt, Smt. Ranjanben Dhananjay']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether emission of carbon is on the rise in the country; (b) whether the Government has formulated any policy to reduce carbon emission in the country and if so, the details thereof along with its targets and if not, the reasons therefor; (c) whether the Government has taken initiatives to in individuals/institutions engaged encourage environmental protection in the country; and (d) if so, the State-wise details thereof including Bundelkhand? .",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Uttar Pradesh', 'Gujarat']","['Hamirpur', 'Vadodara']","['', '']"
87,Meetings of FSDC,"['Reddy, Shri Kotha Prabhakar', 'Vanga, Smt. Geetha Viswanath']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether any meetings have been held by the Financial Stability and Development Council (FSDC) to nudge financial regulators to relax and harmonise investment norms for instruments such as Infrastructure Investment Trusts to be used to monetise public assets such as highways, gas pipelines and railway tracks; and (b) if so, the details and outcome thereof during the last five years?",2021-11-29,UNSTARRED,"['Telangana Rashtra Samithi', 'Yuvajana Sramika Rythu Congress Party']","['Telangana', 'Andhra Pradesh']","['Medak', 'Kakinada']","['', '']"
88,Development of Adivasi Community,"['Sahoo, Shri Mahesh']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) whether the Government is aware that 37 per cent of population in Pallahara in Angul district and Kalahandi districts of Odisha belongs to Adivasi community; (b) if so, the details thereof whether the Government has any plan for social and economic development of these people; (c) whether there is any proposal of special package for the economic development of these people; and (d) if not, the reason thereof?",2021-11-29,UNSTARRED,['Biju Janata Dal'],['Odisha'],['Dhenkanal'],['']
89,Sponsorship for Kendriya Vidyalayas,['Adv. A. M. Ariff'],EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has received any proposal intimating the withdrawal of sponsorship of project sector Kendriya Vidyalayas (KVs) in the country as on date; (b) if so, the details of such KVs and the respective sponsoring institutions and the recurring expenditure borne by the institution for running the KVs during the FY 2020-21; (c) whether the Government proposes to consider converting such KVs to civil sector if so, the details thereof; and (d) if not, the reason therefor?",2021-11-29,UNSTARRED,['Communist Party of India (Marxist)'],['Kerala'],['Alappuzha'],['']
90,Anti-Competitive Practices in Digital Markets,"['Bellana, Shri Chandra Sekhar', 'Nallakonda Gari, Shri Reddeppa', 'Reddy, Shri P.V. Midhun', 'Reddy, Shri Pocha Brahmananda', 'Madhav, Shri Kuruva Gorantla']",CORPORATE AFFAIRS,"Will the Minister of CORPORATE AFFAIRS be pleased to state: (a) whether the Competition Commission of India has taken steps to identify anti-competitive practices in the digital markets, which are characterised by high concentration of market power; and (b) if so, the details thereof?",2021-11-29,UNSTARRED,"['Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party']","['Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh']","['Vizianagaram', 'Chittoor', 'Rajampet', 'Nandyal', 'Hindupur']","['', 'SC', '', '', '']"
91,KV in Kasaragod District,"['Unnithan, Shri Rajmohan']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government is aware of the absence of Kendriya Vidyalaya in Manjeswaram Taluk, Kasaragod district in Kerala, which is educationally backward and lacks adequate educational institutions; and (b) if so the steps taken/to be taken by the Government to start a Kendriya Vidyalaya in Manjeswaram Taluk if the required land is made available for the Kendriya Vidyalaya?",2021-11-29,UNSTARRED,['Indian National Congress'],['Kerala'],['Kasaragod'],['']
92,"CGST, SGST and IGST Collections","['Kathir Anand, Shri Durai Murugan', 'T. Sumathy (A) Thamizhachi Thangapandian, Dr.']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the GST collections for the last two years have increased; (b) if so, the details of CGST, SGST and IGST collections made during the last three years, State-wise; (c) the details of the pending dues to be paid to the State Government of Tamil Nadu and its breakup; and (d) the effective steps taken by the Union Government for the timely payment of GST dues and funds to the State Government of Tamil Nadu in the future?",2021-11-29,UNSTARRED,"['Dravida Munnetra Kazhagam', 'Dravida Munnetra Kazhagam']","['Tamil Nadu', 'Tamil Nadu']","['Vellore', 'Chennai South']","['', '']"
93,Utilization of funds on Migrant Labour,"['Bandi, Shri Sanjay Kumar']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) whether the Union Government had sanctioned funds to various States for utilization on Migrant Labour; if so, the details thereof in respect of State of Telangana for the last five years; . (b) the details of funds released to and spent by the Government of Telangana; and (c) whether any deviation has been made from the funds meant for Migrant Labour to other schemes for Government of Telangana; if so, the action being considered to be taken by the Union Government?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Telangana'],['Karimnagar'],['']
94,Garib Kalyan Rozgar Yojana,"['Verma, Shri Rajesh']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) the district-wise details of Schemes being run in Uttar Pradesh under Garib Kalyan Rojgar Abhiyaan (GKRA); (b) the district-wise details of total number of persons benefitted from this scheme in Uttar Pradesh; (c) whether the Government has any plan to provide employemnt to the persons benefitting from this scheme; and (d) if so, the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Sitapur'],['']
95,Online Education in Telangana,"['Reddy, Shri Anumula Revanth']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) the total number of Kendriya Vidyalayas in the Telangana State; (b) whether the students enrolled in Kendriya Vidyalayas have been availing online classes and if so; the percentage of schools taking online classes; (c) if so, the percentage of students attending such classes and whether notes are being made available to those who are unable to attend such classes; and (d) if not, the plans in place to recover the academic time lost to students enrolled in Kendriya Vidyalayas in Telangana?",2021-11-29,UNSTARRED,['Indian National Congress'],['Telangana'],['Malkajgiri'],['']
96,NEET Aspirants Committing Suicide,"['Thirunavukkarasar, Shri Su.']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has taken note of the reports of NEET aspirants committing suicide in various parts of the country including Tamil Nadu; (b) if so, the details of such cases reported during the last three years, year-wise, State-wise; (c) whether the Government is promoting counseling sessions for students; (d) if so, the details thereof; and 18 (e) the other steps taken or proposed to be taken by the Government to prevent the recurrence of suicide of students in the country?",2021-11-29,UNSTARRED,['Indian National Congress'],['Tamil Nadu'],['Tiruchirappalli'],['']
97,Steps Taken to Promote Tourism After Pandemic,"['Ray, Prof. Sougata']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) the details of steps taken to promote responsible tourism in the country; (b) whether the tourism sector has been badly affected due to the pandemic; (c) if so, the details of action to rejuvenate the tourism sector in the country; (d) whether there is a steep fall in the number of tourists; and (e) if so, the details thereof and relaxations announced so far to attract the tourists?",2021-11-29,UNSTARRED,['All India Trinamool Congress'],['West Bengal'],['Dum Dum'],['']
